
compound	frequency	WIKIDATA_query	WIKIDATA_id	PubChem_CID	PubChem_cmpname
beta-cedrene	3	cedrene	Q1956285	11106485	beta-cedrene
alpha-himachalene	3	(-)-.alpha.-himachalene	Q27121538	11830551	alpha-himachalene
ishwarane	3	not found	not found	14619932	ishwarane
intermedeol	3	intermedeol	Q55958569	15560333	intermedeol
beta-ylangene	3	not found	not found	25244198	(1s,6r,7r)-1-methyl-3-methylidene-8-propan-2-yltricyclo[4.4.0.02,7]decane
beta-funebrene	3	not found	not found	60147454	(3s,3as,7s,8ar)-3,8,8-trimethyl-6-methyleneoctahydro-1h-3a,7-methanoazulene
murolan-3,9(11)-diene-10-peroxy	3	not found	not found	not found	not found
p-cymene	3	p-cymene	Q284072	not found	not found
propiopiperone	3	not found	not found	not found	not found
selina-3,7(11)-diene	3	.alpha.-selinene	Q7448480	not found	not found
trans-nerolidol	3	not found	not found	not found	not found
2,5-dimethoxy-p-cymene	3	2,5-dimethoxy-p-cymene	Q28457222	not found	not found
beta-pinene	3	beta-pinene	Q300928	not found	not found
delta- cadinene	3	(+)-.delta.-cadinene	Q27089406	not found	not found
e-nerolidol	3	(6e)-(+/-)-nerolidol	Q415421	not found	not found
alpha-copaene	3	copaene	Q5168276	not found	not found
alpha-humulene	3	alpha-humulene	Q27121615	not found	not found
alpha-terpinene	3	.alpha.-terpinene	Q423851	not found	not found
alpha-thujene	3	alpha-thujene	Q27121796	not found	not found
trans-beta-guaiene	3	not found	not found	not found	not found
cis-p-mentha-2,8-dien-1-ol	3	cis-p-mentha-2,8-dien-1-ol		not found	not found
1,2-benzenedicarboxylic acid, bis(2-methylpropyl) ester	3	diisobutyl phthalate	Q162259	not found	not found
acetic acid	2	acetic acid	Q47512	176	acetic acid
p-cymen-7-ol	2	not found	not found	325	4-isopropylbenzyl alcohol
1-octanol	2	1-octanol	Q161666	957	1-octanol
octanol	2	caprylic alcohol	Q161666	957	1-octanol
hexadecanal	2	hexadecanal	Q27077978	984	hexadecanal
phenanthrene	2	phenanthrene	Q422037	995	phenanthrene
benzeneacetic acid	2	euphorbiasteroid	Q72477980	999	phenylacetic acid
stearic acid	2	stearic acid	Q209685	5281	stearic acid
phenylethyl alcohol	2	phenylethyl alcohol	Q209463	6054	2-phenylethanol
1-pentanol	2	1-pentanol	Q151733	6276	1-pentanol
salicylaldehyde	2	salicylaldehyde	Q414492	6998	salicylaldehyde
1-methylnaphthalene	2	1-methylnaphthalene	Q161656	7002	1-methylnaphthalene
benzenepropanal	2	not found	not found	7707	3-phenylpropanal
citronellyl formate	2	citronellyl formate	Q27114304	7778	citronellyl formate
isopropyl myristate	2	isopropyl myristate	Q416222	8042	isopropyl myristate
2-heptanone	2	2-heptanone	Q517266	8051	2-heptanone
hexanol	2	1-hexanol	Q76933	8103	1-hexanol
nonane	2	nonane	Q150694	8141	nonane
n-nonane	2	nonane	Q150694	8141	nonane
octyl acetate	2	octyl acetate	Q2173897	8164	octyl acetate
undecanoic acid	2	undecanoic acid	Q425988	8180	undecanoic acid
dodecane	2	dodecane	Q150744	8182	dodecane
1-octadecanol	2	stearyl alcohol	Q632384	8221	stearyl alcohol
p-methylacetophenone	2	p-methyl acetophenone	Q2816673	8500	4'-methylacetophenone
cis-beta-terpineol	2	not found	not found	8748	beta-terpineol
citronellyl butyrate	2	citronellyl butyrate	Q27280949	8835	citronellyl butyrate
beta-citronellol	2	(+/-)-.beta.-citronellol	Q27122080	8842	citronellol
isopropyl palmitate	2	isopropyl palmitate	Q2631777	8907	isopropyl palmitate
sulcatone	2	not found	not found	9862	6-methyl-5-hepten-2-one
bornylene	2	bornylene	Q27277780	10047	2-bornene
phytone	2	phytone	Q72499416	10408	6,10,14-trimethylpentadecan-2-one
m-cymene	2	m-cymene	Q27251197	10812	m-cymene
2-heptanol	2	2-heptanol	Q2720011	10976	2-heptanol
trans-pinocamphone	2	(e)-3-pinanone	Q27271103	11038	3-pinanone
4-terpinenol	2	(+/-)-4-terpineol	Q416114	11230	terpinen-4-ol
4-carvomenthenol	2	(+/-)-4-terpineol	Q416114	11230	terpinen-4-ol
delta-terpinene	2	not found	not found	11463	terpinolene
1-terpineol	2	alpha-terpineol	Q27109437	11468	p-menth-3-en-1-ol
docosane	2	docosane	Q150968	12405	docosane
hexacosane	2	hexacosane	Q151016	12407	hexacosane
phytane	2	phytane	Q171701	12523	phytane
octadecanal	2	octadecanal	Q7076690	12533	octadecanal
tetracosane	2	tetracosane	Q150988	12592	tetracosane
undecane	2	undecane	Q150731	14257	undecane
p-cymen-8-ol	2	p-cymen-8-ol	Q27265496	14529	2-(4-methylphenyl)propan-2-ol
2-methylhexadecane	2	2-methylhexadecane	Q27237256	15266	2-methylhexadecane
2-undecanol	2	2-undecanol	Q27147537	15448	2-undecanol
1-octen-3-yl acetate	2	1-octen-3-yl acetate	Q15927659	17121	1-octen-3-yl acetate
p-thymol	2	thymol	Q408883	18597	4-isopropyl-3-methylphenol
neomenthol	2	(+)-neomenthol	Q27089418	19243	neomenthol
2-amylfuran	2	2-amylfuran	Q27161382	19602	2-pentylfuran
2-pentylfuran	2	2-amylfuran	Q27161382	19602	2-pentylfuran
prenyl benzoate	2	prenyl benzoate	Q27285354	21265	prenyl benzoate
1-pentadecene	2	1-pentadecene	Q3374882	25913	1-pentadecene
rose oxide	2	rose oxide	Q417155	27866	rose oxide
calarene	2	not found	not found	28481	beta-gurjunene
d-verbenone	2	verbenone	Q421151	29025	4,6,6-trimethylbicyclo[3.1.1]hept-3-en-2-one
lavandulyl acetate	2	(+/-)-lavandulyl acetate	Q16948466	30247	lavandulyl acetate
p-anisaldehyde	2	p-anisaldehyde	Q174937	31244	4-methoxybenzaldehyde
n-nonanal	2	nonanal	Q419668	31289	nonanal
nopinone	2	(-)-nopinone	Q72496673	32735	6,6-dimethylbicyclo[3.1.1]heptan-2-one
caryophyllenol	2	caryophyllenol i	Q27236187	61125	beta-caryophyllene alcohol
2-pentadecanone	2	2-pentadecanone	Q27161440	61303	2-pentadecanone
piperitenone oxide	2	piperitenone oxide	Q27108176	61942	piperitenone oxide
theaspirane	2	theaspirane	Q27161796	61953	2,6,10,10-tetramethyl-1-oxaspiro[4.5]dec-6-ene
sabinene hydrate	2	4-thujanol	Q27101876	62367	sabinene hydrate
alpha-cedrol	2	cedrol	Q1052617	65575	cedrol
thymol acetate	2	thymol acetate	Q27108438	68252	thymol acetate
artemisia ketone	2	isoartemisia ketone	Q27236857	68346	3,3,6-trimethylhepta-1,5-dien-4-one
sakuranetin	2	sakuranetin	Q3459689	73571	sakuranetin
carvacryl acetate	2	carvacryl acetate	Q27254462	80792	carvacryl acetate
phellandral	2	phellandral	Q27285352	89488	phellandral
alpha-acoradiene	2	not found	not found	90351	acoradiene
trans-thujone	2	.beta.-thujone	Q27121861	91456	beta-thujone
curcumene	2	.alpha.-curcumene	Q27132148	92139	alpha-curcumene
beta-pinene oxide	2	(+)-beta-pinene oxide	Q72499903	93046	beta-pinene oxide
cis-thujopsene	2	not found	not found	97829	sesquichamene
artemisia alcohol	2	not found	not found	100197	3,3,6-trimethylhepta-1,5-dien-4-ol
cis-carvyl acetate	2	not found	not found	102024	2-cyclohexen-1-ol, 2-methyl-5-(1-methylethenyl)-, acetate, cis-
pinocarveol	2	pinocarveol	Q27103091	102667	pinocarveol
alpha-fenchyl acetate	2	fenchyl acetate	Q27280577	107217	fenchyl acetate
palustrol	2	palustrol	Q67880165	110745	palustrol
ar-turmerone	2	ar-turmerone	Q27138500	160512	ar-turmerone
chrysanthenyl acetate	2	not found	not found	162747	2,7,7-trimethylbicyclo[3.1.1]hept-2-en-6-yl acetate
trans-chrysanthenyl acetate	2	not found	not found	162747	2,7,7-trimethylbicyclo[3.1.1]hept-2-en-6-yl acetate
curcumenol	2	curcumenol	Q27149853	167812	(+)-curcumenol
crocatone	2	not found	not found	177099	1-propanone, 1-(7-methoxy-1,3-benzodioxol-5-yl)-
limonene dioxide	2	limonene diepoxide	Q27283565	232703	limonene dioxide
sesquicineole	2	sesquicineole	Q67880089	341779	sesquicineol
l-limonene	2	(-)-limonene	Q27089405	439250	(-)-limonene
alpha-fenchol	2	(-)-.alpha.-fenchyl alcohol	Q27089421	439711	alpha-fenchol
carotol	2	carotol	Q5045553	442347	carotol
beta-chamigrene	2	(-)-beta-chamigrene	Q27108622	442353	(-)-beta-chamigrene
l-linalool	2	(-)-linalool	Q27105200	443158	(-)-linalool
cinnamic acid	2	not found	not found	444539	cinnamic acid
farnesol	2	(2e,6e)-farnesol	Q420449	445070	trans,trans-farnesol
santolina triene	2	santolina triene	Q27162243	519872	santolina triene
delta-selinene	2	delta-selinene	Q27121587	520383	delta-selinene
kaurene	2	not found	not found	520687	kaurene
bergamotene	2	bergamotene	Q15628529	521569	bergamotene
beta-phellandren-8-ol	2	not found	not found	522161	p-mentha-1(7),2-dien-8-ol
epicedrol	2	epi-cedrol	Q27123312	522667	(+)-cedrol
caryophylladienol ii	2	caryophylladienol ii	Q67879771	527418	bicyclo[7.2.0]undecan-5-ol, 10,10-dimethyl-2,6-bis(methylene)-, (1s,5r,9r)-
4-carene	2	(+)-4-carene	Q27162117	530422	4-carene
saussurea lactone	2	not found	not found	556963	saussurea lactone
epizonarene	2	epizonarene	Q67879987	595385	epizonarene
gamma-asarone	2	2,4,5-trimethoxy-1-allylbenzene	Q27155291	636750	gamma-asarone
asarone	2	.alpha.-asarone	Q419658	636822	alpha-asarone
p-coumaric acid	2	(e)-p-coumaric acid	Q99374	637542	4-hydroxycinnamic acid
(e)-anethole	2	anethole	Q255564	637563	anethole
trans-geraniol	2	geraniol	Q410836	637566	geraniol
alpha-citral	2	geranial	Q410888	638011	citral
squalene	2	squalene	Q407560	638072	squalene
(z)-3-hexenal	2	(3z)-3-hexenal	Q158587	643941	cis-3-hexenal
(z)-jasmone	2	isoelemicin	Q27149878	1549018	jasmone
cis-anethole	2	anethole	Q27105777	1549040	cis-anethole
cis-farnesol	2	not found	not found	1549107	cis,cis-farnesol
bisabolol	2	levomenol	Q179896	1549992	bisabolol
cis-rose oxide	2	cis-(-)-rose oxide	Q27162308	1712087	2h-pyran, tetrahydro-4-methyl-2-(2-methyl-1-propenyl)-, (2s-cis)-
manool	2	manool	Q15726184	3034394	manool
curzerenone	2	curzerenone	Q15410911	3081930	4(5h)-benzofuranone, 6-ethenyl-6,7-dihydro-3,6-dimethyl-5-(1-methylethenyl)-, trans-
torreyol	2	delta-cadinol	Q5254530	3084311	delta-cadinol
geranic acid	2	(2e)-geranic acid	Q4381113	5275520	geranic acid
(z)-3-hexen-1-ol	2	(3z)-3-hexen-1-ol	Q300850	5281167	cis-3-hexen-1-ol
(E)-2-hexenal	2	(2e)-2-hexenal	Q209405	5281168	2-hexenal
trans-beta-caryophyllene	2	(+)-beta-caryophyllene	Q27132453	5281515	beta-caryophyllene
(e)-beta-caryophyllene	2	caryophyllene	Q421614	5281515	beta-caryophyllene
e-caryophyllene	2	caryophyllene	Q421614	5281522	isocaryophyllene
e-beta-ocimene	2	(3e)-.beta.-ocimene	Q26777012	5281553	beta-ocimene
chrysin	2	not found	not found	5281607	chrysin
galangin	2	galangin	Q2456591	5281616	galangin
geraniol formate	2	geranyl formate	Q15726045	5282109	geranyl formate
(e)-2-octenal	2	(2e)-2-octenal	Q2448755	5283324	2-octenal
(e)- nerolidol	2	(6e)-(+/-)-nerolidol	Q415421	5283345	2-decenal
dendrolasin	2	dendrolasin	Q27149763	5316534	dendrolasin
geranyl butyrate	2	geranyl butyrate	Q10864413	5355856	geranyl butyrate
thunbergol	2	thunbergol	Q67880110	5363523	thunbergol
8-heptadecene	2	heptadecene	Q27104917	5364555	8-heptadecene
(e)-beta-damascenone	2	.beta.-damascenone	Q416126	5366074	beta-damascenone
(z)-3-hexenyl isovalerate	2	(3z)-3-hexenyl isovalerate	Q27282877	5367681	cis-3-hexenyl isovalerate
(z)-3-hexenyl benzoate	2	(3z)-3-hexenyl benzoate	Q27286127	5367706	cis-3-hexenyl benzoate
lavandulol	2	(+/-)-lavandulol	Q616128	5464156	(r)-lavandulol
9-epi-beta-caryophyllene	2	not found	not found	5498519	(1r,4z,9r)-4,11,11-trimethyl-8-methylenebicyclo[7.2.0]undec-4-ene
cis-sesquisabinene hydrate	2	cis-sesquisabinene hydrate	Q27158324	6428435	(2r,5s)-2-methyl-5-(6-methylhept-5-en-2-yl)bicyclo[3.1.0]hexan-2-ol
(z)-cinnamaldehyde	2	(z)-3-phenyl-2-propenal	Q27161918	6428995	cis-cinnamaldehyde
trans-sabinol	2	trans-sabinol	Q67880182	6429076	trans-sabinol
cis-alpha-bergamotene	2	(-)-endo-alpha-bergamotene	Q27131278	6429303	(-)-endo-alpha-bergamotene
exo-fenchyl acetate	2	exo-fenchyl acetate	Q67880008	6430689	exo-fenchyl acetate
cembrene	2	not found	not found	6430770	cembrene
trans-linalool oxide (furanoid)	2	trans-linalool oxide	Q27272093	6432254	trans-linalool oxide
trans-dihydrocarvone	2	trans-(+)-dihydrocarvone	Q27105262	6432474	(-)-carvomenthone
dihydroedulan ia	2	dihydroedulan i	Q67879843	6432687	dihydroedulan ia
curdione	2	curdione	Q15410914	6441391	germacr-1(10)-ene-5,8-dione
alpha-cyperone	2	alpha-cyperone	Q27151420	6452086	alpha-cyperone
cis-limonene oxide	2	cis-(-)-limonene oxide	Q27253522	6857487	(1r,4r,6s)-1-methyl-4-(prop-1-en-2-yl)-7-oxabicyclo[4.1.0]heptane
trans-carvyl acetate	2	not found	not found	6951358	2-cyclohexen-1-ol, 2-methyl-5-(1-methylethenyl)-, acetate, (1r-trans)-
exo-fenchol	2	not found	not found	6973643	exo-fenchol
allohimachalol	2	not found	not found	10585158	allohimachalol
cubebol	2	cubebol	Q726875	11276107	cubebol
beta-himachalene	2	beta-himachalene	Q27121533	11586487	(r)-2,4a,5,6,7,8-hexahydro-3,5,5,9-tetramethyl-1h-benzocycloheptene
epiglobulol	2	not found	not found	11858788	epiglobulol
epi-cubenol	2	6-epi-cubenol	Q67879643	12046149	epicubenol
trans-beta-bergamotene	2	beta-trans-bergamotene	Q66499305	12300069	trans-beta-bergamotene
beta-costol	2	beta-costol	Q67879720	12304104	beta-costol
7-epi-alpha-eudesmol	2	7-epi-alpha-eudesmol	Q67879648	12304196	7-epi-alpha-eudesmol
sylvestrene	2	sylvestrene	Q67880102	12304570	cyclohexene, 1-methyl-5-(1-methylethenyl)-, (r)-
cyperotundone	2	cyperotundone	Q27155094	12308614	cyperenone
mustakone	2	mustakone	Q27134973	12313013	mustakone
gamma-amorphene	2	not found	not found	12313019	(1s,4ar,8as)-7-methyl-4-methylidene-1-propan-2-yl-2,3,4a,5,6,8a-hexahydro-1h-naphthalene
car-3-en-2-one	2	not found	not found	13901618	(1r)-3,7,7-trimethylbicyclo[4.1.0]hept-3-en-2-one
salvial-4(14)-en-1-one	2	salvial-4(14)-en-1-one	Q67880170	15118057	(1s,3ar,8as)-1-isopropyl-3a-methyl-7-methyleneoctahydroazulen-4(2h)-one
e-beta-farnesene	2	(6e)-.beta.-farnesene	Q27108631	15228937	(6e)-2,6-dimethyl-10-methylidenedodeca-2,6-diene
spirolepechinene	2	not found	not found	15491228	spirolepechinene
acorenone b	2	not found	not found	21674978	acorenone b
agarospirol	2	not found	not found	21675005	agarospirol
sesquisabinene	2	sesquisabinene a	Q74417657	25202482	sesquisabinene
terpinen-4-ol acetate	2	terpinen-4-ol acetate	Q67880175	68749986	terpinen-4-ol acetate
sesquisabinene a	2	sesquisabinene a	Q74417657	90658542	sesquisabinene b
gamma-costol	2	not found	not found	91730038	2-naphthaleneethanol, 1,2,3,4,4a,5,6,7-octahydro-4a,8-dimethyl-beta-methylene-, (2r,4ar)-
khusinol	2	not found	not found	91746535	khusinol
isorotundene	2	isorotundene	Q67879964	91753591	isorotundene
alphaÃ¢â¬âpinene	2	alpha-pinene	Q27104380	not found	not found
(e)-3,3-dimethyl-1,5-heptadiene,	2	not found	not found	not found	not found
benzene acetaldehyde	2	not found	not found	not found	not found
p-coumaric acid benzyl ester	2	(e)-p-coumaric acid	Q99374	not found	not found
beta-bourbonene	2	beta-bourbonene	Q27160892	not found	not found
(z)-beta-ocimene	2	(3z)-.beta.-ocimene	Q26777005	not found	not found
p-cymene-8-ol	2	not found	not found	not found	not found
trans-benzyl cinnamate	2	benzyl cinnamate (trans)	Q9197460	not found	not found
2-acetyl-1,3-di-caffeoylglycerol	2	not found	not found	not found	not found
bulnezol	2	not found	not found	not found	not found
cadina-3,5-diene	2	cadina-3,5-diene	Q77502425	not found	not found
romania	2	not found	not found	not found	not found
cariophyllene oxide	2	not found	not found	not found	not found
salicyl benzoate	2	not found	not found	not found	not found
alpha-terpinene	2	.alpha.-terpinene	Q423851	not found	not found
(-)-caryophyllene oxide	2	.beta.-caryophyllene oxide	Q27136294	not found	not found
selina-4,11-diene	2	selina-4,11-diene	not found	not found	not found
(e)-2-decenal	2	(2e)-2-decenal	Q27277030	not found	not found
cis-14-nor-muurol-5-en-4-one	2	not found	not found	not found	not found
4-methoxy-6-(2-propenyl)-1,3-benzodioxole	2	myristicin	Q414057	not found	not found
cis-beta-cariophyllen	2	not found	not found	not found	not found
6,10,14-trimethyl-2-pentadecanone	2	14-trimethyl-2-pentadecanone	not found	not found	not found
cis-cadina-1(6),4-diene	2	cis-cadina-1(6),4-diene		not found	not found
(e)-beta-famesene	2	not found	not found	not found	not found
tau-anethole	2	anethole	Q27105777	not found	not found
ferula lactone i	2	not found	not found	not found	not found
cis-muurola-3,5-diene	2	cis-muurola-3,5-diene	Q27131289	not found	not found
cis-p-mentha-1(7),8-dien-2-ol	2	cis-p-mentha-1(7),8-dien-2-ol	not found	not found	not found
(Z)-beta-ocimene	2	(3z)-.beta.-ocimene	Q26777005	not found	not found
gamma-cadinene	2	(+)-.gamma.-cadinene	Q27132468	not found	not found
thuj-3-en-10-al	2	not found	not found	not found	not found
(z)-isoelemicin	2	not found	not found	not found	not found
p-cymene	2	p-cymene	Q284072	not found	not found
alpha-acorenol	2	not found	not found	not found	not found
alpha-cadinol	2	(-)-.alpha.-cadinol	Q4734900	not found	not found
alpha-copaene	2	copaene	Q5168276	not found	not found
1,13-tetradecadiene	2	1,13-tetradecadiene	not found	not found	not found
1,3-di-p-coumaroylglycerol	2	not found	not found	not found	not found
isodihydrocarvyl acetate	2	not found	not found	not found	not found
delta-cadinene	2	(+)-.delta.-cadinene	Q27089406	not found	not found
alpha-phellandrene	2	(-)-.alpha.-phellandrene	Q25933788	not found	not found
alpha-phellandrene	2	(-)-.alpha.-phellandrene	Q25933788	not found	not found
alpha-springene	2	not found	not found	not found	not found
2-methylene-6,8,8-trimethyl-tricyclo[5.2.2.0(1.6)]undecan-3-ol	2	not found	not found	not found	not found
2-ethylhexanol	2	2-ethylhexanol	Q209388	not found	not found
2,6,6-trimethyl-2-cyclohexene-1-carboxaldehyde	2	.beta.-cyclocitral	Q27124011	not found	not found
3-hexenyl-(z)-butanoate	2	not found	not found	not found	not found
epi-alpha-cadinol	2	10-epi-alpha-cadinol	Q67865683	not found	not found
alpha-phellandrene	2	.alpha.-phellandrene	Q19606345	not found	not found
alpha-muurolol	2	not found	not found	not found	not found
beta-elemene	2	beta-elemene	Q72470661	not found	not found
beta-pinene	2	beta-pinene	Q300928	not found	not found
acetyl-caffeoyl-p-coumaroylglycerol	2	not found	not found	not found	not found
beta-caryophyllene	2	caryophyllene	Q421614	not found	not found
allo-aromadendrene	2	allo-aromadendrene	Q67879598	not found	not found
alpha-humulene	2	humulene	Q1995108	not found	not found
beta-copaen-4alpha-ol	2	not found	not found	not found	not found
quercetin 7,3-,4-trimethoxy	2	not found	not found	not found	not found
trans-alpha-bergamotol	2	not found	not found	not found	not found
germacra-4(15),5,10(14)-trien-1alpha-ol	2	not found	not found	not found	not found
alpha-pinene	2	(+)-.alpha.-pinene	Q2095629	not found	not found
beta-pinene	2	beta-pinene	Q300928	not found	not found
iso-borneol	2	borneol	Q27103499	not found	not found
alpha-farnesene	2	.alpha.-farnesene	Q419814	not found	not found
endo-fenchyl acetate	2	not found	not found	not found	not found
2-acetyl-p-3-coumaroyl-1-feruloylglycerol	2	not found	not found	not found	not found
cadinene	2	cadinene	Q414529	not found	not found
trans-muurola-3,5-diene	2	not found	not found	not found	not found
l-calamenene	2	not found	not found	not found	not found
6,9-guaiadiene	2	6,9-guaiadiene	not found	not found	not found
alpha-copaene	2	not found	not found	not found	not found
alpha-terpineol	2	alpha-terpineol	Q27109437	not found	not found
alpha-thujene	2	alpha-thujene	Q27121796	not found	not found
aldehydes	2	aldehydes	Q101497	not found	not found
thujopsan-2-alpha-ol	2	not found	not found	not found	not found
alpha-gurjunene	2	(-)-alpha-gurjunene	Q27131296	not found	not found
p-cymene	2	p-cymene	Q284072	not found	not found
alpha-bisabolol	2	levomenol	not found	not found	not found
p-coumaric acid cinnamic ester	2	(e)-p-coumaric acid	Q99374	not found	not found
2-acetylo-3-caffeoyl-1-feruloylglycerol	2	not found	not found	not found	not found
beta-eudesmol	2	.beta.-eudesmol	Q27108630	not found	not found
terpinene	2	terpinene	Q424891	not found	not found
delta-2-carene	2	carene	Q19414	not found	not found
iso-spathulenol	2	spathulenol	Q1376658	not found	not found
dehydro-1,8-cineole	2	dehydro-1,8-cineole		not found	not found
2-acetyl-1,3-di-p-coumaroylglycerol	2	not found	not found	not found	not found
trans-cadinalpha-1(6),4-diene	2	not found	not found	not found	not found
alpha-humulene	2	humulene	Q1995108	not found	not found
alpha-phellandren-8-ol	2	not found	not found	not found	not found
3,5-dimethoxytoluene	2	3,5-dimethoxytoluene	Q72468632	not found	not found
beta-myrcene	2	myrcene	Q424577	not found	not found
(e,e)-2,4-decadienal	2	(2e,4e)-2,4-decadienal	Q4544759	not found	not found
alpha-thujene	2	alpha-thujene	Q27121796	not found	not found
trans-gamma-bisabolene	2	not found	not found	not found	not found
trans-epoxy-ocimene	2	not found	not found	not found	not found
humulene epoxide ii	2	humulene epoxide ii	Q72482711	not found	not found
gamma-cuprenene	2	not found	not found	not found	not found
pinobanksin-3-o-acetate	2	pinobanksin 3-o-acetate	Q27149541	not found	not found
terpinyl acetate	2	terpinyl acetate	Q4456134	not found	not found
dehydroaromadendrane	2	not found	not found	not found	not found
delta- elemene	2	.delta.-elemene	Q63409802	not found	not found
cyperotundone a	2	cyperotundone	Q27155094	not found	not found
nonacosane	not found	nonacosane	Q151038	12409	nonacosane
