PMCID	method	method_WIKIPEDIA	method_section_1	method_section_2	analysis_1	analysis_1_WIKIPEDIA	analysis_section_1	analysis_2	analysis_2_WIKIPEDIA	analysis_section_2
PMC5849928			Preparation and analysis of AEO		GC/MS	Gas_chromatography–mass_spectrometry	Preparation and analysis of AEO			
PMC5852288			Maceration method	Bligh and Dyer method						
PMC5855832	hydro-distillation	Steam_distillation	Essential Oil Extraction		GC	Gas_chromatography	Gas Chromatography Analysis	GC-MS	Gas_chromatography–mass_spectrometry	Gas Chromatography-Mass Spectrometry (GC-MS)
PMC5858069	clevenger distillation	Steam_distillation	MATERIALS AND METHODS		gas chromatography/mass chromatography	Gas_chromatography–mass_spectrometry	MATERIALS AND METHODS			
PMC5858457	soxhlet extraction, hydrodistillation	Soxhlet_extractor, Steam_distillation	Preparation of Plant Extracts	Hydrodistillation of Essential Oils	GC-MS	Gas_chromatography–mass_spectrometry	Gas Chromatography-Mass Spectrometry (GC-MS)			
PMC5859817	hydrodistillation	Steam_distillation	Collection and Preparation of Cleistocalyx operculatus Essential Oil		GC-MS	Gas_chromatography–mass_spectrometry	Gas Chromatography-Mass Spectrometry (GC-MS) Analysis			
PMC5867545	soxhlet extraction, hydrodistillation	Soxhlet_extractor, Steam_distillation	Seed Lipid Extraction		HRGC-FID		Preparation of FAME and HRGC-FID Analysis	HRGC-MS		HRGC-MS Analysis
PMC5867556			Extraction of Polyphenols for HPLC-UV-ESI-MS Analysis and Assays		HPLC-MS	High-performance_liquid_chromatography	HPLC-UV-ESI-MS			
PMC5871051	hydrodistillation	Steam_distillation	Plant Material and Preparation of the Essential Oils and Extracts		GC-MS	Gas_chromatography–mass_spectrometry	Essential Oils and Extracts Analysis			
PMC5871294	hydrodistillation	Steam_distillation	Essential Oil Preparation		GC-MS	Gas_chromatography–mass_spectrometry	Essential Oil Preparation			
PMC5872285										
PMC5872290	hydrodistillation	Steam_distillation	Essential Oils Extraction and Characterization							
PMC5874608										
PMC5876267					GC-MS	Gas_chromatography–mass_spectrometry	Origanum compactum essential oil			
PMC5876298										
PMC5877547										
PMC5878871	steam distillation	Steam_distillation	Plant Material and Extraction of Essential Oil		GC-MS	Gas_chromatography–mass_spectrometry	Analysis of the Essential Oil and Compound Identification			
PMC5879832										
PMC5884000										
PMC5884125										
PMC5885327	hydrodistillation	Steam_distillation	Materials		GC-MS	Gas_chromatography–mass_spectrometry	Materials			
PMC5886561					SPME GC-MS	Gas_chromatography–mass_spectrometry	Resin type experiments			
PMC5896384										
PMC5896386	hydrodistillation	Steam_distillation	Essential oil isolation		GC-MS	Gas_chromatography–mass_spectrometry	GC-MS analysis			
PMC5897738			Preparation of Herbal Extracts and Isolation of Reference Standards		GC	Gas_chromatography	GC and GC-MS Experiments	GC-FID	Flame_ionization_detector	GC and GC-MS Experiments
PMC5901951										
PMC5902937					GC-MS	Gas_chromatography–mass_spectrometry	Analysis of policosanol by GC-MS			
PMC5905184										
PMC5905380					GC-MS	Gas_chromatography–mass_spectrometry	Chemical Analysis of Essential Oils			
PMC5905578										
PMC5909600										
PMC5918559	hydrodistillation	Steam_distillation	Plant material and essential oils		GC-MS	Gas_chromatography–mass_spectrometry	GC-MS analysis			
PMC5919639										
PMC5920421										
PMC5920425										
PMC5921405	hydrodistillation	Steam_distillation	Extraction of the essential oil		GC/MS	Gas_chromatography–mass_spectrometry	Analysis of the essential oil			
PMC5923693										
PMC5925846										
PMC5933010										
PMC5933022					GC-FID	Flame_ionization_detector	Gas Chromatography with Flame Ionization Detection			
PMC5933509										
PMC5933692	hydrodistillation	Steam_distillation	Essential oil isolation		GC-MS	Gas_chromatography–mass_spectrometry	Gas chromatography-mass spectrometry			
PMC5937097	hydrodistillation	Steam_distillation	Plant material and obtaining the essential oil		GC-MS	Gas_chromatography–mass_spectrometry	Chemical analysis of the essential oil			
PMC5937106	hydrodistillation , solvent- free microwave extraction		Isolation of the essential oils		GC	Gas_chromatography	Gas chromatography analysis	GC-MS	Gas_chromatography–mass_spectrometry	Gas chromatography-mass spectrometry analysis
PMC5938542					GC-MS	Gas_chromatography–mass_spectrometry	Gas chromatography/mass spectrometry (GC-MS) analysis			
PMC5940754	hydrodistillation	Steam_distillation	Plant material, essential oil extraction and characterization		GC-MS	Gas_chromatography–mass_spectrometry	Plant material, essential oil extraction and characterization	GC-FID	Flame_ionization_detector	
PMC5945564	hydrodistillation	Steam_distillation	Isolation and analysis of the composition of oils		GC-MS	Gas_chromatography–mass_spectrometry	Isolation and analysis of the composition of oils	GC-FID	Flame_ionization_detector	
PMC5946457										
PMC5947909										
PMC5952513	hydrodistillation	Steam_distillation	Isolation of the essential oil		GC	Gas_chromatography	GC analysis	GC-MS	Gas_chromatography–mass_spectrometry	GC-MS analysis
PMC5954905										
PMC5956054										
PMC5957362	hydrodistillation	Steam_distillation	Essential oil isolation and analysis		GC-FID	Flame_ionization_detector	Essential oil isolation and analysis			
PMC5958151										
PMC5958191										
PMC5960541										
PMC5960548	hydrodistillation	Steam_distillation	Plant Material		GC-MS	Gas_chromatography–mass_spectrometry	Plant Material	GC-FID	Flame_ionization_detector	
PMC5861776										
PMC5963643	hydrodistillation	Steam_distillation	Isolation of the essential oil		GC-MS	Gas_chromatography–mass_spectrometry	Gas chromatography mass spectrometry (GC-MS)			
PMC5964621										
PMC5970210					GC-MS	Gas_chromatography–mass_spectrometry	Chemical composition of M. officinalis oils cultivated in the three different countries			
PMC5974043										
PMC5977410										
PMC5978029										
PMC5985564										
PMC5993771	hydrodistillation	Steam_distillation	Plant material		GC-MS	Gas_chromatography–mass_spectrometry	Phytochemical identification			
PMC5997812	hydrodistillation	Steam_distillation	Collection of Plant Material and Extraction of Essential Oil		GC-MS	Gas_chromatography–mass_spectrometry	GC-MS Analysis			
PMC6006875	hydrodistillation	Steam_distillation	Essential oil extraction							
PMC6011056	steam distillation	Steam_distillation	Essential Oil		GC-MS	Gas_chromatography–mass_spectrometry	Chemical Analysis of Essential Oils			
PMC6011059	cold extraction		Preparation of Argan Oil							
PMC6011244	steam distillation	Steam_distillation	Preparation of garlic oil and onion oil							
PMC6015887	hydrodistillation	Steam_distillation	Materials and Chemicals							
